id,name,category,data_type,unit,display_order,is_active,created_at,schema_id,description,reference,display_order_frontend,display_name_frontend,manual_instructions,allowed_values,higher_is_better,description_frontend,current_revision_id,slug
396ea7b4-d172-4128-8ab6-f651d7f4312c,share of women in top management,social,percentage,%,6,true,2026-02-04 08:42:54.454222+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported share of women in top management for the reporting period, expressed as a percentage. Record one reported percentage value only. Do not use the number of women in top management, the share of women in the total workforce, the share of women on the board, gender diversity metrics for management levels other than top management, or percentages for age groups instead of the share of women in top management. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S1-9,3,,,,true,,0534e5fd-94b4-4c5d-a7ad-73efddf755dc,topmgmt_female
e68ca325-fa9b-4605-8c2a-bb6d48a673af,total number confirmed incidents of corruption or bribery,governance,number,,1,true,2026-02-04 08:37:00.755945+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total number of confirmed incidents of corruption or bribery during the reporting period. Record one absolute total value only. Include incidents involving actors in the value chain only where the undertaking or its own workers are directly involved. Do not use the number of convictions, legal cases, dismissals or disciplinary actions, terminated or non-renewed business partner contracts, or qualitative descriptions of incidents instead of the total number of confirmed incidents. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",G1-4,1,,,,false,Total number of confirmed incidents of corruption or bribery.,fc6e1602-8e60-45d8-8c37-894642604a28,corruptioninc
275ea05c-1a74-4442-b58b-9f7d97e24b99,number of severe human rights issues and incidents,social,number,,10,true,2026-02-04 08:36:51.956732+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported number of severe human rights issues and incidents connected to the company’s upstream and downstream value chain during the reporting period. Record one absolute total value only. Do not use general human rights incidents not identified as severe, incidents involving the company’s own workforce only, qualitative descriptions of cases, legal proceedings, remediation actions, or policy statements instead of the total number of severe human rights issues and incidents. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S2-4,,,,,false,,2846a6d7-6b40-4120-a293-60a66ce99ec6,humanrightsinc
f0c50fdb-95e7-4489-a3f3-4541ac2984c0,annual total remuneration ratio,social,number,,9,true,2026-02-04 08:36:24.896099+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,Extract the ratio of the highest-paid individual to the median annual total remuneration for all employees (excluding the highest-paid individual),S1-16,2,,,,false,,21936b18-5c1e-4c95-be63-3790197a3f3f,remunerationratio
d6b30262-1458-428d-9f2d-a980848e25df,gender pay gap,social,percentage,%,8,true,2026-02-04 08:33:25.565035+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the gender pay gap defined as the difference in average pay levels between female and male employees, expressed as a percentage of the average pay level of male employees",S1-16,1,,,,false,,7f2bbced-8fc6-4023-8edc-f0c4656d48f7,genderpaygap
8238fa4a-e7a9-44a8-9db0-f1966ad08276,rate of recordable work-related accidents,social,number,,7,true,2026-02-04 08:33:16.916511+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the rate of recordable work-related accidents defined as the number of cases divided by the number of total hours worked by people in its own workforce, multiplied by 1 000 000. This represents the number of cases per one million hours worked and roughly corresponds to the total hours worked by 500 full-time workers in one year.",S1-14,,,,,false,,c49230ef-3c2b-43d6-bc61-d1c55cf49345,accident_rate
a2d3e3d1-0db4-4c28-8d56-28f8b466d635,percentage of total employees covered by collective bargaining agreements,social,percentage,%,5,true,2026-02-04 08:33:00.200694+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported percentage of the undertaking’s total employees covered by collective bargaining agreements for the reporting period. Record one reported percentage value only. Do not use the existence of collective bargaining agreements without a reported coverage percentage, country-level percentages only, region-level percentages only, percentages relating to non-employees, or figures relating to workers’ representatives instead of the total employee coverage percentage. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S1-8,,,,,true,,dc9a43f1-de84-46a7-9238-48060a0d7d17,employees_colbargaincov
47420215-578e-4628-a16a-24aafb66fd94,rate of employee turnover,social,percentage,%,4,true,2026-02-04 08:32:31.343555+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported rate of employee turnover in the undertaking’s own workforce for the reporting period, expressed as a percentage. Record one reported percentage value only. Do not use the total number of employees who left the undertaking, the total number of employees, hiring rates, retention rates, percentages for specific employee groups only, or figures relating to workers who are not employees instead of the turnover rate. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S1-6,4,,,,false,,93e7751e-9cab-4935-82c0-ec6da86565dc,employees_turnover
2fcc5c14-ab80-46d9-b7c2-ae1c2fc54168,share of of employees 50+,social,number,%,3,true,2026-02-04 08:32:14.025152+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported share of employees aged 50 or older in the undertaking’s own workforce for the reporting period, expressed as a percentage. Record one reported percentage value only. Do not use the total number of employees aged 50 or older, the total number of employees, age-group counts without a reported percentage, percentages for other age groups, or figures relating to workers who are not employees instead of the share. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S1-6,,,,,true,,c6a7b81e-d0d3-4833-a8fa-6b76f648cf05,employees_50older
4eeeba1d-45dc-4290-b135-1918e7d96b76,total number of female employees,social,number,,2,true,2026-02-04 08:32:00.530152+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total number of female employees in the undertaking’s own workforce for the reporting period. Record one absolute total value only. Do not use the total number of employees, percentages or gender shares, female permanent employees only, female temporary employees only, female non-guaranteed hours employees only, or figures relating to workers who are not employees instead of the total. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S1-6,,,,,true,,1962a029-c943-4ae6-837d-c666b7f29eaf,employees_female
5b791785-ef55-44ae-9839-1ab1d004ded2,total number of employees,social,number,,1,true,2026-02-04 08:28:35.37365+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total number of employees in the undertaking’s own workforce for the reporting period. Record one absolute total value only. Do not use full-time equivalent (FTE) values, permanent employees only, temporary employees only, non-guaranteed hours employees only, employees by gender, employees by country, or numbers relating to workers who are not employees instead of the total. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting period.",S1-6,,,,,true,,7422c912-e0ae-4e26-b4c7-9a3a276b0052,employees_total
b5ea94b1-1bfa-4c30-b24e-d957a529eeb2,share of non-recycled waste to total waste,environmental,percentage,%,14,true,2026-02-04 08:28:14.609436+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported share of non-recycled waste relative to total waste from own operations for the reporting year, expressed as a percentage. Record one reported percentage value only. Do not use the total weight of non-recycled waste, total waste generated, recycled waste share, waste diverted from disposal, hazardous waste only, non-hazardous waste only, or percentages for individual waste streams or treatment types instead of the total share. If multiple values are reported, use the consolidated group-level figure for the current reporting year.",E5-5,,,,,false,,833c8296-cfc1-4d8b-aed9-007bba477926,waste_nonrec_rel
58e76b26-16a8-4265-8ee4-b24262dd4b3b,total weight of non-recycled waste,environmental,number,t,13,true,2026-02-04 08:28:05.514415+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total weight of non-recycled waste from own operations in tonnes for the reporting year. Record one absolute total value only. Do not use the percentage of non-recycled waste, total waste generated, waste diverted from disposal, waste directed to disposal, recycled waste, hazardous waste only, non-hazardous waste only, or waste values reported for individual treatment types instead of the total. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting year.",E5-5,,,,,false,,cbcd9c2c-fcc6-4a10-8407-95ce4ad103bf,waste_nonrec_abs
3af2199b-125a-4b47-bf83-df6619b427a3,total weight of waste generated,environmental,number,t,12,true,2026-02-04 08:27:59.866441+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total weight of waste generated from own operations in tonnes for the reporting year. Record one absolute total value only. Do not use waste diverted from disposal, waste directed to disposal, recycled waste, hazardous waste only, non-hazardous waste only, percentages, intensity metrics, or waste values reported for individual streams instead of the total. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting year.",E5-5,,,,,false,,eefd73a6-8eba-46d6-89ad-489debadb784,waste_total
1f0ae04a-f91b-48d8-acca-a5eab18b38a2,total use of land,environmental,number,m2,11,true,2026-02-04 08:26:51.130738+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total land use in m2 for the reporting year, relating to own operations where disclosed as a biodiversity- or ecosystem-related land-use metric. Record one absolute total value only. Do not use site area, protected-area area, land-use change over time, land converted, floor area, operational footprint, percentages, or land-related values reported in other units instead of the total. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting year.",E4-5,,,,,false,,f07b0451-7e86-47d9-9b56-4bd5db16ef4b,land
931bcdab-9890-4927-ac70-2bf09fdecd7a,total water consumption,environmental,number,m3,10,true,2026-02-04 08:26:28.979988+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"Extract the explicitly reported total water consumption from own operations in m3 for the reporting year. Record one absolute total value only. Do not use water withdrawal, water discharge, water intensity, recycling or reuse volumes, percentages, targets, or segment-only values instead of the total. Do not calculate the total from subcomponents. If multiple values are reported, use the consolidated group-level figure for the current reporting year.",E3-4,5,,,,false,,01be46e7-fbb6-4702-8f47-34d0be0759a3,water
d66c86b7-c0b8-4f83-8422-cd8d16475eab,total emissions (market-based),environmental,number,tCO2eq,9,true,2026-02-04 08:26:17.357643+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"The sum of Scope 1, market-based Scope 2, and total Scope 3 emissions in the given year. Do not use a future target value or the emissions intensity.",E1-6,,,,,false,,e82a3e31-6a73-4eb8-ad94-1abe869686f9,ghg_total_mkt
710dfe94-ced3-46d4-b8b6-43e8502a7fe2,total emissisons (location-based),environmental,number,tCO2eq,8,true,2026-02-04 08:26:06.319924+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"The sum of Scope 1, location-based Scope 2, and total Scope 3 emissions in the given year. Do not use a future target value or the emissions intensity.",E1-6,,,,,false,,cb819fbd-166d-4b28-8079-6a1701247e13,ghg_total_loc
0cfb9328-c740-4812-9e3b-0108423df189,total Scope 3 greenhouse gas emissions,environmental,number,tCO2eq,7,true,2026-02-04 08:22:40.37241+00,fd00652e-2e13-4e8c-9672-ba50ed9c63ab,"The absolute value of total Scope 3 emissions, i.e., the sum of all Scope 3 categories in the given year. Do not use a future target value or the emissions intensity.",E1-6,3,,,,false,,79444fc4-e9f8-4b78-87e3-59fa0c36edbc,ghg_scope3
